"","val","var","sim","dwel","room","weather"
"300",168.7,"conv_hge_roof","Simp.","SE","Dorm. 2","Rio de Janeiro"
"301",328.4,"conv_hge_roof","Simp.","SE","Living","Rio de Janeiro"
"302",170.4,"conv_hge_roof","Simp.","SW","Dorm. 1","Rio de Janeiro"
"303",168.7,"conv_hge_roof","Simp.","SW","Dorm. 2","Rio de Janeiro"
"304",328.2,"conv_hge_roof","Simp.","SW","Living","Rio de Janeiro"
"305",154.3,"conv_hge_roof","Simp.","W","Dorm. N","Rio de Janeiro"
"306",126,"conv_hge_roof","Simp.","W","Dorm. S","Rio de Janeiro"
"307",342.7,"conv_hge_roof","Simp.","W","Living","Rio de Janeiro"
"308",65.7,"conv_hge_roof","Simp.","E","Dorm. N","São Paulo"
"309",46.8,"conv_hge_roof","Simp.","E","Dorm. S","São Paulo"
"310",188.8,"conv_hge_roof","Simp.","E","Living","São Paulo"
"311",106.6,"conv_hge_roof","Simp.","NE","Dorm. 1","São Paulo"
"312",111.2,"conv_hge_roof","Simp.","NE","Dorm. 2","São Paulo"
"313",290.6,"conv_hge_roof","Simp.","NE","Living","São Paulo"
"314",106.8,"conv_hge_roof","Simp.","NW","Dorm. 1","São Paulo"
"315",111.2,"conv_hge_roof","Simp.","NW","Dorm. 2","São Paulo"
"316",290.4,"conv_hge_roof","Simp.","NW","Living","São Paulo"
"317",76.9,"conv_hge_roof","Simp.","SE","Dorm. 1","São Paulo"
"318",80.5,"conv_hge_roof","Simp.","SE","Dorm. 2","São Paulo"
"319",193,"conv_hge_roof","Simp.","SE","Living","São Paulo"
"320",77.1,"conv_hge_roof","Simp.","SW","Dorm. 1","São Paulo"
"321",80.5,"conv_hge_roof","Simp.","SW","Dorm. 2","São Paulo"
"322",193,"conv_hge_roof","Simp.","SW","Living","São Paulo"
"323",72,"conv_hge_roof","Simp.","W","Dorm. N","São Paulo"
"324",51.3,"conv_hge_roof","Simp.","W","Dorm. S","São Paulo"
"325",213.8,"conv_hge_roof","Simp.","W","Living","São Paulo"
"326",-93.4,"conv_hge_walls","Base","E","Dorm. N","Curitiba"
"327",-176.2,"conv_hge_walls","Base","E","Dorm. S","Curitiba"
"328",167,"conv_hge_walls","Base","E","Living","Curitiba"
"329",36,"conv_hge_walls","Base","NE","Dorm. 1","Curitiba"
"330",104.6,"conv_hge_walls","Base","NE","Dorm. 2","Curitiba"
"331",403.5,"conv_hge_walls","Base","NE","Living","Curitiba"
"332",52.9,"conv_hge_walls","Base","NW","Dorm. 1","Curitiba"
"333",113.7,"conv_hge_walls","Base","NW","Dorm. 2","Curitiba"
"334",427.1,"conv_hge_walls","Base","NW","Living","Curitiba"
"335",-86.4,"conv_hge_walls","Base","SE","Dorm. 1","Curitiba"
"336",-26.5,"conv_hge_walls","Base","SE","Dorm. 2","Curitiba"
"337",57,"conv_hge_walls","Base","SE","Living","Curitiba"
"338",-77.1,"conv_hge_walls","Base","SW","Dorm. 1","Curitiba"
"339",-26.3,"conv_hge_walls","Base","SW","Dorm. 2","Curitiba"
"340",58.3,"conv_hge_walls","Base","SW","Living","Curitiba"
"341",-23.1,"conv_hge_walls","Base","W","Dorm. N","Curitiba"
"342",-107.9,"conv_hge_walls","Base","W","Dorm. S","Curitiba"
"343",390.4,"conv_hge_walls","Base","W","Living","Curitiba"
"344",731.5,"conv_hge_walls","Base","E","Dorm. N","Rio de Janeiro"
"345",581.9,"conv_hge_walls","Base","E","Dorm. S","Rio de Janeiro"
"346",1142.4,"conv_hge_walls","Base","E","Living","Rio de Janeiro"
"347",893.8,"conv_hge_walls","Base","NE","Dorm. 1","Rio de Janeiro"
