"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year94",394.6,339.7,38.8,487.8,121.7,134.9,61.3,169.9,-81.7,20,1.2,-1149.8,0.1,-11,1.2,103.491666666667,"NE","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year95",786,863.2,339.5,1154,373.2,0,238.8,273.5,-52.6,124.6,0,-3260.6,1.3,-10.4,0,179.995,"NE","Living","São Paulo","Hyp.","SF","Simp."
"year96",394.9,343.9,37.1,460.8,159.9,90.4,88.8,121.7,-84.7,21.3,1.4,-1123.6,0,-12,1.4,101.191666666667,"NW","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year97",394.6,339.7,38.7,488.2,121.7,171.5,61.3,133.8,-81.7,19.9,1.2,-1150.1,0.1,-11,1.2,103.508333333333,"NW","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year98",786,863.2,339.6,1155,373.2,276.8,238.9,0,-52.6,124.2,0,-3261.2,1.3,-10.4,0,180.025,"NW","Living","São Paulo","Hyp.","SF","Simp."
"year99",398.7,196.8,50.8,290.8,45.2,80.4,105.8,59.4,-79.6,13.4,2.2,-844.6,0.1,-8.2,2.2,76.8083333333333,"SE","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year100",398.2,198.6,50.8,306.7,31,86.1,80.8,108.9,-77.3,13.6,1.8,-863.9,0.1,-7.6,1.8,78.5333333333333,"SE","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year101",787.8,482.8,289.8,743.4,143.1,0,247.5,177.7,-73.9,76,0.1,-2326.3,1.3,-8.1,0.1,132.56,"SE","Living","São Paulo","Hyp.","SF","Simp."
"year102",398.7,196.6,51,290,45.2,59.4,105.8,79.7,-79.5,13.4,2.2,-844.1,0.1,-8.2,2.2,76.7583333333333,"SW","Dorm. 1","São Paulo","Hyp.","SF","Simp."
"year103",398.2,198.6,50.8,306.8,31,108.9,80.8,86.1,-77.3,13.6,1.8,-863.9,0.1,-7.6,1.8,78.5333333333333,"SW","Dorm. 2","São Paulo","Hyp.","SF","Simp."
"year104",787.8,482.9,289.9,743.6,143.2,178.6,247.6,0,-73.8,75.9,0.1,-2326.5,1.3,-8.1,0.1,132.575,"SW","Living","São Paulo","Hyp.","SF","Simp."
"year105",385.5,233.1,21.9,326.4,74,113.3,57,82.1,-61.5,14.7,1.2,-861.3,0.3,-17,1.2,105.7,"W","Dorm. N","São Paulo","Hyp.","SF","Simp."
"year106",388.7,142.8,33.7,221.2,29.1,74.2,58.2,59.7,-59.8,16.3,2,-687.4,0,-39.9,2,85.6,"W","Dorm. S","São Paulo","Hyp.","SF","Simp."
"year107",762.1,613.5,269.3,998.4,173.5,380.2,183.2,261.5,-33.9,105.9,0.1,-2765.6,2,-5.2,0.1,207.64,"W","Living","São Paulo","Hyp.","SF","Simp."
