"","int_conv_he","conv_hge_floor","conv_hge_roof","conv_hge_walls","conv_hge_wall_s","conv_hge_wall_e","conv_hge_wall_n","conv_hge_wall_w","conv_hge_windows","conv_hge_doors","hvac_sens_he","hvac_sens_ce","afn_inf_sens_hge","afn_inf_sens_hle","hvac_total_he","hvac_total_ce","dwel","room","weather","typo","wrap","sim"
"year75",392.2,504.4,248.5,971.4,327.8,246.4,214.3,182.8,1.7,45.7,0,-2131.1,0.9,-4.5,0,187.5,"NE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year76",392.2,490.1,246.2,980.7,242.1,262.1,146.2,330.2,3.6,44.4,0,-2127,1.2,-4.1,0,187.208333333333,"NE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year77",785.1,1069.9,523.4,1637.5,505.3,0,407.4,364.6,48,138.1,0,-4222.6,3.5,-5.2,0,229.555,"NE","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year78",392.2,501.8,247,964.2,325.9,182.1,214,242.2,2.1,45.8,0,-2120.8,0.9,-4.4,0,186.625,"NW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year79",392.2,489.8,246.1,980.6,242,329.9,146.2,262.5,3.6,44.1,0,-2126.2,1.2,-4.1,0,187.141666666667,"NW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year80",785.1,1069.4,523.2,1636.5,505,367,407.3,0,48,137.4,0,-4219.6,3.5,-5.2,0,229.4,"NW","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year81",393.2,257.7,146.8,577.3,115.4,159,193,109.8,-0.9,26.4,0,-1389.6,1.1,-1.7,0,124.975,"SE","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year82",393.3,247,141,554.3,77.2,152.6,138.7,185.8,0.4,26.2,0,-1352.8,1.4,-1.6,0,122.016666666667,"SE","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year83",786.8,515.3,295.7,892.5,207.8,0,286.3,198.5,21.6,73,0,-2578.7,3.6,-2.5,0,146.21,"SE","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year84",393.2,255.1,145.4,571.1,115.2,109.1,191.1,155.7,-0.5,26.4,0,-1380.1,1.1,-1.7,0,124.175,"SW","Dorm. 1","Rio de Janeiro","Hyp.","TV","Simp."
"year85",393.3,246.9,141,554.2,77.2,185.6,138.7,152.7,0.4,26.2,0,-1352.5,1.4,-1.6,0,122,"SW","Dorm. 2","Rio de Janeiro","Hyp.","TV","Simp."
"year86",786.8,514.9,295.5,891.3,207.8,199.3,286,0,21.6,72.6,0,-2576.1,3.6,-2.5,0,146.08,"SW","Living","Rio de Janeiro","Hyp.","TV","Simp."
"year87",382.4,352.8,171,755.2,159.6,237.2,154.8,203.6,1.7,37.4,0,-1656.2,1.6,-5.5,0,197.266666666667,"W","Dorm. N","Rio de Janeiro","Hyp.","TV","Simp."
"year88",383.1,216.8,117.1,559.1,86.6,146.9,138.8,186.8,-5.1,33.8,0,-1287.3,1.7,-14.3,0,157.711111111111,"W","Dorm. S","Rio de Janeiro","Hyp.","TV","Simp."
"year89",761.5,754.1,357.7,1378.5,204.5,485.9,243.3,444.8,46,120.2,0,-3445.1,0.8,-3.3,0,256.293333333333,"W","Living","Rio de Janeiro","Hyp.","TV","Simp."
