"seed","storey","area","ratio","height","azimuth","shell_wall","abs_wall","shell_roof","abs_roof","wwr_liv","wwr_dorm","u_window","shgc","open_factor","blind","balcony","facade","mirror","epw","targ","month"
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,1,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,80.4256272401434,10
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,1,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,74.7962962962963,11
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,1,0.231265625,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,71.9802867383513,12
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,12.5940860215054,1
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,32.5216235611833,2
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,16.6833201262482,3
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,37.5972222222222,4
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,5
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,6
1,1,101.9296875,1.5257421875,2.771484375,332.465625,1,0.749234375,3,0.400671875,0.241015625,0.347046875,3.2279765625,0.46644140625,0.4646484375,0,1.4140625,1,1,299,100,7
